Unnamed: 0,Model,Price,Generation,Core,Ram,SSD,Display,Graphics,CPU_Score,RAM_Score,GPU_Score,Storage_Score,Performance_Score,Hidden_Gem_Ratio
0,HP VICTUS 15-FB0157AX GAMING LAPTOP (AMD RYZEN 5 5600H/ 8GB/ 512GB SSD/ WIN11/ 4GB GRAPH),50399.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels, Touch Screen",4 GB AMD Radeon RX 6500M,5.2,1.6,1.32,0.1,8.22,0.1631
1,TECNO MEGABOOK T1 LAPTOP (11TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 HOME),23990.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB LPDDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.2043
2,LENOVO V15 G4 ‎82YU00W7IN LAPTOP (AMD RYZEN 3 7320U/ 8GB/ 512GB SSD/ WIN11 HOME),26989.0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Graphics,6.8,1.6,1.2,0.1,9.7,0.3594
3,SAMSUNG GALAXY BOOK2 PRO 13 LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),69990.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,"13.3 inches, 1080 x 1920 pixels",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0929
4,XIAOMI REDMI G PRO 2024 GAMING LAPTOP (14TH GEN CORE I9/ 16GB/ 1TB SSD/ WIN11 HOME/ RTX 4060),102990.0,14th Gen Intel Core i9 14900HX,"24 Cores (8P + 16E), 32 Threads",16 GB DDR5 RAM,1 TB SSD,"16.1 inches, 2560 x 1600 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,3.2,2.4,0.1,7.7,0.0748
5,HP 15S-FQ5007TU LAPTOP (12TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 HOME),35990.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,2.0,1.6,1.2,0.1,4.9,0.1361
6,APPLE MACBOOK AIR 2020 MGND3HN LAPTOP (APPLE M1/ 8GB/ 256GB SSD/ MACOS),79990.0,Apple M1,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,"13.3 inches, 2560 x 1600 pixels",Apple M1 Integrated Graphics,0.8,1.6,1.2,0.1,3.7,0.0463
7,SAMSUNG GALAXY BOOK2 NP550XED-KA1IN 15 LAPTOP (12TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11),42990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB LPDDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.114
8,HP 15S-FQ5330TU LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME),54990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,3.2,1.2,0.1,6.5,0.1182
9,HP VICTUS 15-FB1017AX GAMING LAPTOP (AMD RYZEN 5 7535HS/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),56490.0,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,6.8,3.2,1.2,0.1,11.3,0.2
